DrugBank_ID,Drug_Name,Drug_Type,drug,UniProt_ID,Target_Name,Gene_Name,gene_id
DB06589,Pazopanib,small molecule,124,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB06589,Pazopanib,small molecule,124,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB06589,Pazopanib,small molecule,124,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,78
DB06589,Pazopanib,small molecule,124,P09619,Platelet-derived growth factor receptor beta,PDGFRB,45
DB06589,Pazopanib,small molecule,124,P10721,Mast/stem cell growth factor receptor Kit,KIT,46
DB06589,Pazopanib,small molecule,124,P22607,Fibroblast growth factor receptor 3,FGFR3,308
DB06589,Pazopanib,small molecule,124,Q08881,Tyrosine-protein kinase ITK/TSK,ITK,257
DB06589,Pazopanib,small molecule,124,P05230,Fibroblast growth factor 1,FGF1,309
DB06589,Pazopanib,small molecule,124,Q9UQQ2,SH2B adapter protein 3,SH2B3,310
DB06626,Axitinib,small molecule,84,P17948,Vascular endothelial growth factor receptor 1,FLT1,49
DB06626,Axitinib,small molecule,84,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB06626,Axitinib,small molecule,84,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB06772,Cabazitaxel,small molecule,132,P68366,Tubulin alpha-4A chain,TUBA4A,62
DB06772,Cabazitaxel,small molecule,132,Q9H4B7,Tubulin beta-1 chain,TUBB1,218
DB06774,Capsaicin,small molecule,189,Q8NER1,Transient receptor potential cation channel subfamily V member 1,TRPV1,311
DB06774,Capsaicin,small molecule,189,Q99623,Prohibitin-2,PHB2,312
DB06999,PLX-4720,small molecule,72,P15056,Serine/threonine-protein kinase B-raf,BRAF,40
DB08818,Hyaluronic acid,small molecule,88,P16070,CD44 antigen,CD44,313
DB08818,Hyaluronic acid,small molecule,88,P05362,Intercellular adhesion molecule 1,ICAM1,314
DB08818,Hyaluronic acid,small molecule,88,O75330,Hyaluronan mediated motility receptor,HMMR,315
DB08818,Hyaluronic acid,small molecule,88,O14594,Neurocan core protein,NCAN,316
DB08818,Hyaluronic acid,small molecule,88,P13611,Versican core protein,VCAN,317
DB08818,Hyaluronic acid,small molecule,88,Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,318
DB08818,Hyaluronic acid,small molecule,88,P10915,Hyaluronan and proteoglycan link protein 1,HAPLN1,319
DB08818,Hyaluronic acid,small molecule,88,Q96S86,Hyaluronan and proteoglycan link protein 3,HAPLN3,320
DB08818,Hyaluronic acid,small molecule,88,Q14520,Hyaluronan-binding protein 2,HABP2,321
DB08818,Hyaluronic acid,small molecule,88,Q6UX15,Layilin,LAYN,322
DB08818,Hyaluronic acid,small molecule,88,Q8WWQ8,Stabilin-2,STAB2,323
DB08818,Hyaluronic acid,small molecule,88,P98066,Tumor necrosis factor-inducible gene 6 protein,TNFAIP6,324
DB08818,Hyaluronic acid,small molecule,88,Q9BZV3,Interphotoreceptor matrix proteoglycan 2,IMPG2,325
DB08818,Hyaluronic acid,small molecule,88,Q5JVS0,Intracellular hyaluronan-binding protein 4,HABP4,326
DB08818,Hyaluronic acid,small molecule,88,Q9Y5Y7,Lymphatic vessel endothelial hyaluronic acid receptor 1,LYVE1,327
DB08865,Crizotinib,small molecule,28,Q9UM73,ALK tyrosine kinase receptor,ALK,328
DB08865,Crizotinib,small molecule,28,P08581,Hepatocyte growth factor receptor,MET,329
DB08871,Eribulin,small molecule,149,P10415,Apoptosis regulator Bcl-2,BCL2,219
DB08871,Eribulin,small molecule,149,Q9H4B7,Tubulin beta-1 chain,TUBB1,218
DB08875,Cabozantinib,small molecule,196,P08581,Hepatocyte growth factor receptor,MET,329
DB08875,Cabozantinib,small molecule,196,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB08875,Cabozantinib,small molecule,196,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,48
DB08877,Ruxolitinib,small molecule,80,O60674,Tyrosine-protein kinase JAK2,JAK2,330
DB08877,Ruxolitinib,small molecule,80,P23458,Tyrosine-protein kinase JAK1,JAK1,331
DB08877,Ruxolitinib,small molecule,80,P52333,Tyrosine-protein kinase JAK3,JAK3,332
DB08877,Ruxolitinib,small molecule,80,P29597,Non-receptor tyrosine-protein kinase TYK2,TYK2,333
DB08881,Vemurafenib,small molecule,66,P15056,Serine/threonine-protein kinase B-raf,BRAF,40
DB08889,Carfilzomib,small molecule,183,P28074,Proteasome subunit beta type-5,PSMB5,2
DB08889,Carfilzomib,small molecule,183,P28062,Proteasome subunit beta type-8,PSMB8,334
DB08889,Carfilzomib,small molecule,183,P20618,Proteasome subunit beta type-1,PSMB1,3
DB08889,Carfilzomib,small molecule,183,P28065,Proteasome subunit beta type-9,PSMB9,335
DB08889,Carfilzomib,small molecule,183,P49721,Proteasome subunit beta type-2,PSMB2,336
DB08889,Carfilzomib,small molecule,183,P40306,Proteasome subunit beta type-10,PSMB10,337
DB08896,Regorafenib,small molecule,193,P17948,Vascular endothelial growth factor receptor 1,FLT1,49
DB08896,Regorafenib,small molecule,193,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB08896,Regorafenib,small molecule,193,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB08896,Regorafenib,small molecule,193,P10721,Mast/stem cell growth factor receptor Kit,KIT,46
DB08896,Regorafenib,small molecule,193,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,78
DB08896,Regorafenib,small molecule,193,P09619,Platelet-derived growth factor receptor beta,PDGFRB,45
DB08896,Regorafenib,small molecule,193,P11362,Fibroblast growth factor receptor 1,FGFR1,47
DB08896,Regorafenib,small molecule,193,P21802,Fibroblast growth factor receptor 2,FGFR2,338
DB08896,Regorafenib,small molecule,193,Q02763,Angiopoietin-1 receptor,TEK,307
DB08896,Regorafenib,small molecule,193,Q16832,Discoidin domain-containing receptor 2,DDR2,339
DB08896,Regorafenib,small molecule,193,P04629,High affinity nerve growth factor receptor,NTRK1,76
DB08896,Regorafenib,small molecule,193,P29317,Ephrin type-A receptor 2,EPHA2,229
DB08896,Regorafenib,small molecule,193,P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,41
DB08896,Regorafenib,small molecule,193,P15056,Serine/threonine-protein kinase B-raf,BRAF,40
DB08896,Regorafenib,small molecule,193,Q15759,Mitogen-activated protein kinase 11,MAPK11,340
DB08896,Regorafenib,small molecule,193,P42685,Tyrosine-protein kinase FRK,FRK,241
DB08896,Regorafenib,small molecule,193,P00519,Tyrosine-protein kinase ABL1,ABL1,80
DB08896,Regorafenib,small molecule,193,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,48
DB08899,Enzalutamide,small molecule,45,P10275,Androgen receptor,AR,37
DB08901,Ponatinib,small molecule,89,P00519,Tyrosine-protein kinase ABL1,ABL1,80
DB08901,Ponatinib,small molecule,89,P11274,Breakpoint cluster region protein,BCR,75
DB08901,Ponatinib,small molecule,89,P10721,Mast/stem cell growth factor receptor Kit,KIT,46
DB08901,Ponatinib,small molecule,89,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,48
DB08901,Ponatinib,small molecule,89,Q02763,Angiopoietin-1 receptor,TEK,307
DB08901,Ponatinib,small molecule,89,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,44
DB08901,Ponatinib,small molecule,89,P11362,Fibroblast growth factor receptor 1,FGFR1,47
DB08901,Ponatinib,small molecule,89,P21802,Fibroblast growth factor receptor 2,FGFR2,338
DB08901,Ponatinib,small molecule,89,P22607,Fibroblast growth factor receptor 3,FGFR3,308
DB08901,Ponatinib,small molecule,89,P22455,Fibroblast growth factor receptor 4,FGFR4,341
DB08901,Ponatinib,small molecule,89,P06239,Tyrosine-protein kinase Lck,LCK,230
DB08901,Ponatinib,small molecule,89,P12931,Proto-oncogene tyrosine-protein kinase Src,SRC,228
DB08901,Ponatinib,small molecule,89,P07948,Tyrosine-protein kinase Lyn,LYN,243
DB08901,Ponatinib,small molecule,89,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB08901,Ponatinib,small molecule,89,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,78
DB08911,Trametinib,small molecule,74,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,342
DB08911,Trametinib,small molecule,74,P36507,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,343
DB08912,Dabrafenib,small molecule,73,P15056,Serine/threonine-protein kinase B-raf,BRAF,40
DB08912,Dabrafenib,small molecule,73,P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,41
DB08912,Dabrafenib,small molecule,73,P57059,Serine/threonine-protein kinase SIK1,SIK1,344
DB08912,Dabrafenib,small molecule,73,Q8NG66,Serine/threonine-protein kinase Nek11,NEK11,345
DB08912,Dabrafenib,small molecule,73,P53667,LIM domain kinase 1,LIMK1,346
DB08916,Afatinib,small molecule,22,P00533,Epidermal growth factor receptor,EGFR,25
DB08916,Afatinib,small molecule,22,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,247
DB08916,Afatinib,small molecule,22,Q15303,Receptor tyrosine-protein kinase erbB-4,ERBB4,347
DB09053,Ibrutinib,small molecule,169,Q06187,Tyrosine-protein kinase BTK,BTK,235
DB09063,Ceritinib,small molecule,56,Q9UM73,ALK tyrosine kinase receptor,ALK,328
DB09073,Palbociclib,small molecule,92,P11802,Cyclin-dependent kinase 4,CDK4,348
DB09073,Palbociclib,small molecule,92,Q00534,Cyclin-dependent kinase 6,CDK6,349
DB09074,Olaparib,small molecule,82,P09874,Poly [ADP-ribose] polymerase 1,PARP1,350
DB09074,Olaparib,small molecule,82,Q9UGN5,Poly [ADP-ribose] polymerase 2,PARP2,351
DB09074,Olaparib,small molecule,82,Q9Y6F1,Poly [ADP-ribose] polymerase 3,PARP3,352
DB09078,Lenvatinib,small molecule,17,P17948,Vascular endothelial growth factor receptor 1,FLT1,49
DB09078,Lenvatinib,small molecule,17,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB09078,Lenvatinib,small molecule,17,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB09078,Lenvatinib,small molecule,17,P11362,Fibroblast growth factor receptor 1,FGFR1,47
DB09078,Lenvatinib,small molecule,17,P21802,Fibroblast growth factor receptor 2,FGFR2,338
DB09078,Lenvatinib,small molecule,17,P22607,Fibroblast growth factor receptor 3,FGFR3,308
DB09078,Lenvatinib,small molecule,17,P22455,Fibroblast growth factor receptor 4,FGFR4,341
DB09078,Lenvatinib,small molecule,17,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,78
DB09078,Lenvatinib,small molecule,17,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,48
DB09078,Lenvatinib,small molecule,17,P10721,Mast/stem cell growth factor receptor Kit,KIT,46
DB09079,Nintedanib,small molecule,120,P17948,Vascular endothelial growth factor receptor 1,FLT1,49
DB09079,Nintedanib,small molecule,120,P35968,Vascular endothelial growth factor receptor 2,KDR,43
DB09079,Nintedanib,small molecule,120,P35916,Vascular endothelial growth factor receptor 3,FLT4,42
DB09079,Nintedanib,small molecule,120,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,78
DB09079,Nintedanib,small molecule,120,P09619,Platelet-derived growth factor receptor beta,PDGFRB,45
DB09079,Nintedanib,small molecule,120,P11362,Fibroblast growth factor receptor 1,FGFR1,47
DB09079,Nintedanib,small molecule,120,P21802,Fibroblast growth factor receptor 2,FGFR2,338
DB09079,Nintedanib,small molecule,120,P22607,Fibroblast growth factor receptor 3,FGFR3,308
DB09079,Nintedanib,small molecule,120,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,44
DB09079,Nintedanib,small molecule,120,P06239,Tyrosine-protein kinase Lck,LCK,230
DB09079,Nintedanib,small molecule,120,P07948,Tyrosine-protein kinase Lyn,LYN,243
DB09079,Nintedanib,small molecule,120,P12931,Proto-oncogene tyrosine-protein kinase Src,SRC,228
DB09330,Osimertinib,small molecule,21,P00533,Epidermal growth factor receptor,EGFR,25
DB11672,Curcumin,small molecule,107,P37231,Peroxisome proliferator-activated receptor gamma,PPARG,24
DB11672,Curcumin,small molecule,107,P11473,Vitamin D3 receptor,VDR,0
DB11672,Curcumin,small molecule,107,O15440,Multidrug resistance-associated protein 5,ABCC5,353
DB11672,Curcumin,small molecule,107,P16152,Carbonyl reductase [NADPH] 1,CBR1,295
DB11672,Curcumin,small molecule,107,P09211,Glutathione S-transferase P,GSTP1,354
DB11730,Ribociclib,small molecule,101,P11802,Cyclin-dependent kinase 4,CDK4,348
DB11730,Ribociclib,small molecule,101,Q00534,Cyclin-dependent kinase 6,CDK6,349
DB11828,Neratinib,small molecule,208,P00533,Epidermal growth factor receptor,EGFR,25
DB12015,Alpelisib,small molecule,100,P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,302
DB12093,Tetrahydropalmatine,small molecule,154,P21728,Dopamine D1 receptor,DRD1,215
DB12093,Tetrahydropalmatine,small molecule,154,P14416,Dopamine D2 receptor,DRD2,102
DB12116,Epigallocatechin gallate,small molecule,99,P35869,Aryl hydrocarbon receptor,AHR,285
DB12116,Epigallocatechin gallate,small molecule,99,P26358,DNA (cytosine-5)-methyltransferase 1,DNMT1,189
DB12116,Epigallocatechin gallate,small molecule,99,Q86XF0,"Dihydrofolate reductase, mitochondrial",DHFRL1,355
DB12130,Lorlatinib,small molecule,79,Q9UM73,ALK tyrosine kinase receptor,ALK,328
DB12141,Gilteritinib,small molecule,203,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,44
DB12141,Gilteritinib,small molecule,203,P30530,Tyrosine-protein kinase receptor UFO,AXL,356
DB12141,Gilteritinib,small molecule,203,Q9UM73,ALK tyrosine kinase receptor,ALK,328
DB12200,Tivantinib,small molecule,75,P08581,Hepatocyte growth factor receptor,MET,329
DB12340,Navitoclax,small molecule,81,P10415,Apoptosis regulator Bcl-2,BCL2,219
DB12340,Navitoclax,small molecule,81,Q92843,Bcl-2-like protein 2,BCL2L2,357
DB12340,Navitoclax,small molecule,81,Q92934,Bcl2 antagonist of cell death,BAD,358
DB12874,Quizartinib,small molecule,204,P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,44
